Age,Age_Group,Attrition,Attrition_Flag,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Income_Group,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,Experience_Group,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Group2,Income Band,Tenure Group,Promotion Status,Experience Group
41,Senior,Yes,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,5993,Low,19479,8,Y,Yes,11,3,1,80,0,8,Junior Level,0,1,6,4,0,5,35-44,$3k-$6k,6-10 yrs,Promoted this year,6-10 yrs
49,Senior,No,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,5130,Low,24907,1,Y,No,23,4,4,80,1,10,Junior Level,3,3,10,7,1,7,45-54,$3k-$6k,6-10 yrs,1-2 yrs since promotion,6-10 yrs
37,Mid-Career,Yes,1,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,Low,2396,6,Y,Yes,15,3,2,80,0,7,Junior Level,3,3,0,0,0,0,35-44,< $3k,0-1 yrs,Promoted this year,6-10 yrs
33,Mid-Career,No,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,2909,Low,23159,1,Y,Yes,11,3,3,80,0,8,Junior Level,3,3,8,7,3,0,25-34,< $3k,6-10 yrs,3-5 yrs since promotion,6-10 yrs
27,Young,No,0,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,Low,16632,9,Y,No,12,3,4,80,1,6,Junior Level,3,3,2,2,2,2,25-34,$3k-$6k,2-3 yrs,1-2 yrs since promotion,6-10 yrs
32,Mid-Career,No,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,Low,11864,0,Y,No,13,3,3,80,0,8,Junior Level,2,2,7,7,3,6,25-34,$3k-$6k,6-10 yrs,3-5 yrs since promotion,6-10 yrs
59,Senior,No,0,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,Low,9964,4,Y,Yes,20,4,1,80,3,12,Mid Level,3,2,1,0,0,0,55+,< $3k,0-1 yrs,Promoted this year,11-20 yrs
30,Mid-Career,No,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,Low,13335,1,Y,No,22,4,2,80,1,1,Entry Level,2,3,1,0,0,0,25-34,< $3k,0-1 yrs,Promoted this year,0-2 yrs
38,Mid-Career,No,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,Medium,8787,0,Y,No,21,4,2,80,0,10,Junior Level,2,3,9,7,1,8,35-44,$6k-$10k,6-10 yrs,1-2 yrs since promotion,6-10 yrs
36,Mid-Career,No,0,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,Low,16577,6,Y,No,13,3,2,80,2,17,Mid Level,3,2,7,7,7,7,35-44,$3k-$6k,6-10 yrs,5+ yrs since promotion,11-20 yrs
